epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.002,2.15779,3.0538,1.89427,0.4317,0.41618,0.34907,0.12886,2.21067,2.13965,1.84937,0.00333144,0.00333144,0.00333144
2,681.536,2.15779,2.19055,1.81813,0.44583,0.36807,0.35388,0.13201,2.26184,2.19874,1.86899,0.00662079,0.00662079,0.00662079
3,1003.06,2.27468,2.44282,1.92921,0.39793,0.3049,0.2537,0.08881,2.42717,2.96289,2.02426,0.00986614,0.00986614,0.00986614
4,1326.85,2.41226,2.71606,2.0532,0.33776,0.25458,0.20736,0.07114,2.38887,2.57107,2.05725,0.009802,0.009802,0.009802
5,1649.62,2.36633,2.54993,2.02477,0.44726,0.33027,0.33033,0.11865,2.36724,2.34752,1.9719,0.009736,0.009736,0.009736
6,1973.12,2.28556,2.40943,2.00042,0.49351,0.33704,0.34884,0.12209,2.29043,2.28007,1.93927,0.00967,0.00967,0.00967
7,2292.84,2.25523,2.30825,1.94087,0.54129,0.39912,0.42902,0.15906,2.27076,2.08007,1.89028,0.009604,0.009604,0.009604
8,2607.95,2.20512,2.16064,1.88734,0.56711,0.36522,0.3817,0.13642,2.28696,2.33521,1.898,0.009538,0.009538,0.009538
9,2921.38,2.1898,2.11892,1.9014,0.52856,0.3947,0.42028,0.16217,2.22739,1.89522,1.85679,0.009472,0.009472,0.009472
10,3234.92,2.16375,2.05234,1.87722,0.609,0.44532,0.48392,0.18283,2.16016,1.94588,1.83,0.009406,0.009406,0.009406
11,3549.09,2.1281,2.0221,1.84881,0.561,0.4494,0.4703,0.17786,2.13691,1.83619,1.82592,0.00934,0.00934,0.00934
12,3861.76,2.11923,1.9789,1.84288,0.4761,0.51209,0.46961,0.18453,2.13762,1.90886,1.79505,0.009274,0.009274,0.009274
13,4173.62,2.07561,1.91483,1.81171,0.63127,0.48948,0.52863,0.20598,2.13412,1.77368,1.79391,0.009208,0.009208,0.009208
14,4485.87,2.07727,1.91989,1.8024,0.64734,0.4963,0.54073,0.21007,2.1363,1.75315,1.82216,0.009142,0.009142,0.009142
15,4798.47,2.04876,1.82026,1.79069,0.63685,0.50152,0.53929,0.20374,2.1337,1.76096,1.77904,0.009076,0.009076,0.009076
16,5113,2.04021,1.78865,1.77174,0.65395,0.52726,0.56188,0.21566,2.04695,1.707,1.77011,0.00901,0.00901,0.00901
17,5427,2.02267,1.7629,1.76366,0.64665,0.53486,0.56538,0.22218,2.06323,1.72395,1.77509,0.008944,0.008944,0.008944
18,5744.04,2.00387,1.7604,1.76015,0.69202,0.54094,0.60487,0.23643,2.07947,1.58676,1.75779,0.008878,0.008878,0.008878
19,6058.39,2.00154,1.70694,1.74238,0.67258,0.54528,0.6036,0.24753,2.02893,1.58714,1.74829,0.008812,0.008812,0.008812
20,6368.89,1.99287,1.70072,1.74477,0.6682,0.54959,0.60219,0.24128,2.03584,1.57758,1.72673,0.008746,0.008746,0.008746
21,6679.26,1.9699,1.67452,1.71628,0.71396,0.56898,0.63769,0.25668,2.04585,1.52119,1.74982,0.00868,0.00868,0.00868
22,6988.63,1.95924,1.61169,1.7146,0.71478,0.5566,0.62141,0.25221,2.00161,1.51372,1.71293,0.008614,0.008614,0.008614
23,7298.18,1.9533,1.6493,1.70238,0.65934,0.59074,0.63017,0.2597,2.00377,1.50865,1.72139,0.008548,0.008548,0.008548
24,7609.26,1.93951,1.60134,1.70624,0.67511,0.57847,0.63338,0.25618,2.01803,1.51704,1.73823,0.008482,0.008482,0.008482
25,7919.45,1.94866,1.62376,1.70155,0.70654,0.60509,0.65642,0.2661,2.01279,1.47945,1.70947,0.008416,0.008416,0.008416
26,8229.89,1.94394,1.58987,1.70237,0.70767,0.57528,0.64084,0.26333,1.96878,1.52067,1.69044,0.00835,0.00835,0.00835
27,8544.23,1.92212,1.54865,1.68227,0.72392,0.5965,0.66318,0.27228,2.00402,1.44094,1.70563,0.008284,0.008284,0.008284
28,8858.81,1.919,1.5399,1.67918,0.71191,0.60312,0.66308,0.2722,1.95975,1.48155,1.67593,0.008218,0.008218,0.008218
29,9173.02,1.89943,1.5249,1.67634,0.73302,0.61001,0.67482,0.27821,1.97141,1.44224,1.69184,0.008152,0.008152,0.008152
30,9487.4,1.92467,1.50482,1.66284,0.72973,0.60418,0.67047,0.27273,1.99844,1.44475,1.69138,0.008086,0.008086,0.008086
31,9801.39,1.88876,1.49036,1.65997,0.72537,0.63064,0.68455,0.28714,1.95581,1.40459,1.67715,0.00802,0.00802,0.00802
32,10115.1,1.88122,1.48303,1.64079,0.74078,0.63748,0.70091,0.29097,1.94041,1.39525,1.65295,0.007954,0.007954,0.007954
33,10430.7,1.86138,1.47562,1.63187,0.71875,0.64581,0.70462,0.29428,1.94683,1.3668,1.65124,0.007888,0.007888,0.007888
34,10746.9,1.86934,1.45003,1.63647,0.71932,0.64008,0.68433,0.29012,1.93457,1.36533,1.64916,0.007822,0.007822,0.007822
35,11062.4,1.84928,1.44768,1.62239,0.76552,0.64456,0.71418,0.29246,1.95033,1.33894,1.65778,0.007756,0.007756,0.007756
36,11377.1,1.85631,1.41933,1.61473,0.72995,0.65198,0.70383,0.30145,1.92036,1.33301,1.64229,0.00769,0.00769,0.00769
37,11691.1,1.86416,1.4045,1.61288,0.73117,0.6662,0.71695,0.30853,1.95074,1.32726,1.64422,0.007624,0.007624,0.007624
38,12003.5,1.84421,1.39878,1.60709,0.71211,0.65545,0.71364,0.30666,1.91912,1.32223,1.63525,0.007558,0.007558,0.007558
39,12317.5,1.82067,1.38324,1.59085,0.76268,0.6612,0.71154,0.3027,1.94315,1.30744,1.63751,0.007492,0.007492,0.007492
40,12632,1.81603,1.37984,1.60612,0.76166,0.66145,0.72165,0.31451,1.90503,1.31197,1.63069,0.007426,0.007426,0.007426
41,12945.5,1.82292,1.36896,1.60192,0.77327,0.6692,0.73159,0.3066,1.91378,1.28808,1.6226,0.00736,0.00736,0.00736
42,13258.5,1.82616,1.34137,1.59456,0.78581,0.64481,0.73049,0.31478,1.92127,1.272,1.62997,0.007294,0.007294,0.007294
43,13571.4,1.81749,1.33419,1.57317,0.77266,0.66781,0.73105,0.326,1.90988,1.25893,1.61148,0.007228,0.007228,0.007228
44,13884.4,1.80493,1.33508,1.57569,0.74952,0.66731,0.72597,0.32144,1.87837,1.2506,1.60788,0.007162,0.007162,0.007162
45,14200.2,1.8027,1.33749,1.57938,0.76646,0.67288,0.73282,0.31422,1.9081,1.25147,1.61013,0.007096,0.007096,0.007096
46,14515.5,1.78747,1.34145,1.56342,0.78813,0.68704,0.74096,0.31851,1.93978,1.23232,1.63919,0.00703,0.00703,0.00703
47,14831.6,1.78123,1.31214,1.57019,0.76683,0.69592,0.74375,0.32954,1.89608,1.22271,1.60523,0.006964,0.006964,0.006964
48,15145.6,1.77698,1.29829,1.56294,0.81311,0.68323,0.76368,0.33069,1.8963,1.257,1.60475,0.006898,0.006898,0.006898
49,15458.6,1.76689,1.29555,1.54958,0.77313,0.70503,0.75132,0.32979,1.92263,1.20749,1.61453,0.006832,0.006832,0.006832
50,15773.2,1.76439,1.29665,1.54986,0.78493,0.70638,0.7563,0.33235,1.88744,1.21156,1.60303,0.006766,0.006766,0.006766
51,16087.5,1.75621,1.27119,1.55312,0.79813,0.70966,0.76173,0.3368,1.87616,1.19739,1.59666,0.0067,0.0067,0.0067
52,16401.4,1.76017,1.26972,1.54563,0.79602,0.71103,0.76514,0.33527,1.90205,1.21418,1.60652,0.006634,0.006634,0.006634
53,16715.4,1.74315,1.27021,1.54234,0.78912,0.71235,0.7696,0.33864,1.88706,1.19215,1.60278,0.006568,0.006568,0.006568
54,17032.9,1.7357,1.2642,1.53461,0.7988,0.6983,0.76237,0.34068,1.86373,1.19724,1.59191,0.006502,0.006502,0.006502
55,17346.3,1.74186,1.24321,1.54608,0.7782,0.71004,0.76841,0.33962,1.87644,1.18698,1.60293,0.006436,0.006436,0.006436
56,17658.7,1.74506,1.24875,1.54167,0.79381,0.70592,0.76881,0.33576,1.88436,1.19205,1.60649,0.00637,0.00637,0.00637
57,17969.7,1.72361,1.22872,1.51649,0.79384,0.70468,0.77308,0.34428,1.88095,1.16195,1.60015,0.006304,0.006304,0.006304
58,18280.4,1.7199,1.20756,1.51306,0.78973,0.71662,0.77914,0.35103,1.87019,1.1524,1.59002,0.006238,0.006238,0.006238
59,18591.7,1.72475,1.21396,1.51211,0.79499,0.72017,0.77047,0.35129,1.86839,1.13769,1.57983,0.006172,0.006172,0.006172
60,18903.8,1.70271,1.20639,1.50726,0.79116,0.71264,0.77042,0.34565,1.85707,1.13881,1.58066,0.006106,0.006106,0.006106
61,19216,1.69156,1.20202,1.49159,0.80088,0.72596,0.77696,0.34931,1.86003,1.13797,1.57828,0.00604,0.00604,0.00604
62,19528.2,1.7048,1.19553,1.50922,0.80453,0.72015,0.77564,0.35707,1.85872,1.11763,1.57272,0.005974,0.005974,0.005974
63,19840.1,1.70195,1.19957,1.51341,0.80013,0.72654,0.78307,0.36253,1.8571,1.10232,1.57893,0.005908,0.005908,0.005908
64,20152.4,1.67733,1.16892,1.49305,0.79163,0.72461,0.77938,0.36034,1.86528,1.10102,1.57831,0.005842,0.005842,0.005842
65,20463,1.68508,1.15815,1.49179,0.78351,0.73688,0.78258,0.35981,1.84603,1.11678,1.56807,0.005776,0.005776,0.005776
66,20776.3,1.68916,1.15918,1.4951,0.80246,0.73081,0.78277,0.36271,1.83188,1.09552,1.56811,0.00571,0.00571,0.00571
67,21087.4,1.67207,1.16105,1.48274,0.80113,0.73314,0.78231,0.36297,1.84464,1.0927,1.57489,0.005644,0.005644,0.005644
68,21399.4,1.67635,1.14407,1.48605,0.79595,0.73085,0.78777,0.36331,1.83726,1.08809,1.56955,0.005578,0.005578,0.005578
